"source","destination","status","priority","reason"
"/natural/2017/09/the-search-for-identity-is-a-call-for-self-inquiry/","/library/blog/posts/the-search-for-identity-is-a-call-for-self-inquiry/","ready","high","Matched by blog slug"
"/natural/2017/10/podcast-episode-24-a-natural-human-life/","/library/podcasts/episodes/a-natural-human-life/","ready","high","Matched by podcast episode number"
"/natural/2017/11/understanding-the-fear-of-life/","/library/blog/posts/understanding-the-fear-of-life/","ready","high","Matched by blog slug"
"/natural/2017/12/podcast-episode-25-the-worry-monster/","/library/podcasts/episodes/the-worry-monster/","ready","high","Matched by podcast episode number"
"/natural/2017/12/what-do-you-really-want/","/library/blog/posts/what-do-you-really-want/","ready","high","Matched by blog slug"
"/natural/2018/01/expectations/","/library/blog/posts/expectations/","ready","high","Matched by blog slug"
"/natural/2018/01/podcast-episode-23-are-you-in-recovery-repost/","/library/podcasts/episodes/are-you-in-recovery/","ready","high","Matched by podcast episode number"
"/natural/2018/02/everybody-is-just-like-you/","/library/blog/posts/everybody-is-just-like-you/","ready","high","Matched by blog slug"
"/natural/2018/02/podcast-episode-26-self-inquiry-unbound/","/library/podcasts/episodes/self-inquiry-unbound/","ready","high","Matched by podcast episode number"
"/natural/2018/04/podcast-episode-27-you-have-to-do-it/","/library/podcasts/episodes/you-have-to-do-it/","ready","high","Matched by podcast episode number"
"/natural/2018/05/new-book-the-just-one-look-method/","/library/blog/posts/new-book-the-just-one-look-method/","ready","high","Matched by blog slug"
"/natural/2018/06/podcast-episode-28-self-directed-attention-unbound/","/library/podcasts/episodes/self-directed-attention-unbound/","ready","high","Matched by podcast episode number"
"/natural/2018/08/what-makes-our-work-different/","/library/blog/posts/what-makes-our-work-different/","ready","high","Matched by blog slug"
"/natural/2018/09/naked-and-afraid/","/library/blog/posts/naked-and-afraid/","ready","high","Matched by blog slug"
"/natural/2018/09/podcast-episode-29-what-is-just-one-look/","/library/podcasts/episodes/what-is-just-one-look/","ready","high","Matched by podcast episode number"
"/natural/2018/10/about-expectations/","/library/blog/posts/about-expectations/","ready","high","Matched by blog slug"
"/natural/2018/10/mindfulness/","/library/blog/posts/mindfulness/","ready","high","Matched by blog slug"
"/natural/2018/11/a-world-gone-mad/","/library/blog/posts/a-world-gone-mad/","ready","high","Matched by blog slug"
"/natural/2018/11/podcast-episode-30-great-expectations/","/library/podcasts/episodes/great-expectations/","ready","high","Matched by podcast episode number"
"/natural/2018/12/enlightenment-is-not-worth-striving-for/","/library/blog/posts/enlightenment-is-not-worth-striving-for/","ready","high","Matched by blog slug"
"/natural/2018/12/podcast-episode-31-a-world-gone-mad/","/library/podcasts/episodes/a-world-gone-mad/","ready","high","Matched by podcast episode number"
"/natural/2019/01/podcast-episode-32-the-power-of-attention/","/library/podcasts/episodes/the-power-of-attention-episode-32/","ready","high","Matched by podcast episode number"
"/natural/2019/01/the-power-of-attention-part-one/","/library/blog/posts/the-power-of-attention-part-one/","ready","high","Matched by blog slug"
"/natural/2019/02/podcast-episode-33-naked-afraid/","/library/podcasts/episodes/naked-afraid/","ready","high","Matched by podcast episode number"
"/natural/2019/02/the-power-of-attention-part-three/","/library/blog/posts/the-power-of-attention-part-three/","ready","high","Matched by blog slug"
"/natural/2019/02/the-power-of-attention-part-two/","/library/blog/posts/the-power-of-attention-part-two/","ready","high","Matched by blog slug"
"/natural/2019/03/podcast-episode-34-simplicity/","/library/podcasts/episodes/simplicity/","ready","high","Matched by podcast episode number"
"/natural/2019/03/the-power-of-attention-part-five/","/library/blog/posts/the-power-of-attention-part-five/","ready","high","Matched by blog slug"
"/natural/2019/03/the-power-of-attention-part-four/","/library/blog/posts/the-power-of-attention-part-four/","ready","high","Matched by blog slug"
"/natural/2019/03/the-power-of-attention-part-six/","/library/blog/posts/the-power-of-attention-part-six/","ready","high","Matched by blog slug"
"/natural/2019/04/podcast-episode-35-quiet-mind/","/library/podcasts/episodes/quiet-mind/","ready","high","Matched by podcast episode number"
"/natural/2019/06/podcast-episode-36-get-off-the-bus/","/library/podcasts/episodes/get-off-the-bus/","ready","high","Matched by podcast episode number"
"/natural/2019/07/what-do-you-really-want-2/","/library/blog/posts/what-do-you-really-want-2/","ready","high","Matched by blog slug"
"/natural/2019/08/podcast-ep-37-what-do-you-really-want/","/library/podcasts/episodes/what-do-you-really-want/","ready","high","Matched by podcast episode number"
"/natural/2020/10/podcast-ep-38-meditation-can-serve-self-inquiry/","/library/podcasts/episodes/meditation-can-serve-self-inquiry/","ready","high","Matched by podcast episode number"
"/natural/2021/04/podcast-ep-39-escape-from-the-spiritual-ghetto/","/library/podcasts/episodes/escape-from-the-spiritual-ghetto/","ready","high","Matched by podcast episode number"
"/natural/2021/05/podcast-ep-40-mahasamadhi/","/library/podcasts/episodes/mahasamadhi/","ready","high","Matched by podcast episode number"
"/natural/2022/03/podcast-ep-41-a-celebration-of-life/","/library/podcasts/episodes/a-celebration-of-life/","ready","high","Matched by podcast episode number"
"/natural/2022/05/just-to-say-hello/","/library/blog/posts/just-to-say-hello/","ready","high","Matched by blog slug"
"/natural/2022/11/john-sherman-is-dead/","/library/blog/posts/john-sherman-is-dead/","ready","high","Matched by blog slug"
"/natural/category/blog/","/library/blog/","ready","high","Blog category replacement"
"/natural/category/podcast/","/library/podcasts/","ready","high","Podcast category replacement"
"/site-map.php","/sitemap.xml","ready","high","XML sitemap replacement"
"/videos.php","/library/videos/","ready","high","Videos moved to Library"
